Index,Head Lines
Himalayan Fig or 'Bedu': Know about its medicinal values,https://timesofindia.indiatimes.com/life-style/health-fitness/diet/himalayan-fig-or-bedu-features-in-pm-modis-mann-ki-baat-know-about-the-medicinal-plant-found-in-northern-india/articleshow/93882224.cms, <---------- KEYWORD FOUND!
Man loses more than 99 kilos! Here's how,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/a-30-year-old-food-addict-with-obesity-running-in-the-family-loses-more-than-99-kilos-heres-how/articleshow/93881690.cms, <---------- KEYWORD FOUND!
"At 47, here's how Drew Barrymore stays so fit",https://timesofindia.indiatimes.com/life-style/health-fitness/web-stories/at-47-heres-how-drew-barrymore-manages-to-look-so-fit/photostory/93881499.cms, <---------- KEYWORD FOUND!
Patients narrate ordeal during monkeypox infection,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/monkeypox-pain-patients-narrate-ordeal-during-the-course-of-the-infection/photostory/93881051.cms, <---------- KEYWORD FOUND!
What is the right age to start monitoring blood cholesterol?,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/what-is-the-right-age-to-start-monitoring-blood-cholesterol/photostory/93877361.cms, <---------- KEYWORD FOUND!
Fatty liver: Confusion as a sign of toxin build-up,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/fatty-liver-disease-confusion-could-be-a-sign-of-toxin-build-up-know-all-the-symptoms/photostory/93735005.cms, <---------- KEYWORD FOUND!
5 yoga asanas that will make you better at sex,https://timesofindia.indiatimes.com/life-style/health-fitness/fitness/5-yoga-asanas-that-will-make-you-better-at-sex/photostory/93776639.cms, <---------- KEYWORD FOUND!
High cholesterol sign to not ignore when walking,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/high-cholesterol-sign-to-not-ignore-while-walking-may-require-immediate-treatment/photostory/93754108.cms, <---------- KEYWORD FOUND!
Bowel cancer: Why you need to know about BCA,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/bowel-cancer-signs-why-everyone-needs-to-know-about-the-bca-signs-that-signals-growth-of-tumour/articleshow/93311704.cms, <---------- KEYWORD FOUND!
Latest Omicron BA.5 symptoms seem to have changed,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-experts-say-latest-omicron-ba-5-symptoms-seem-to-have-changed/photostory/93821736.cms, <---------- KEYWORD FOUND!
5 ways to lower your cholesterol naturally,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/5-ways-to-lower-your-cholesterol-naturally/photostory/93642234.cms, <---------- KEYWORD FOUND!
Mouni Roy to grace ‘Dance Dance Junior Season 3’,https://timesofindia.indiatimes.com/tv/news/bengali/actress-mouni-roy-to-grace-dance-dance-junior-season-3/articleshow/93902603.cms, <---------- KEYWORD FOUND!
BB K OTT: Jaswanth-Saniya's friendship upsets Nandu,https://timesofindia.indiatimes.com/tv/news/kannada/bigg-boss-kannada-ott-growing-friendship-between-boyfriend-jaswanth-saniya-iyer-leaves-nandu-upset/articleshow/93899307.cms, <---------- KEYWORD FOUND!
Bengali actors celebrate Ganesh Chaturthi,https://timesofindia.indiatimes.com/tv/news/bengali/promita-rudrajit-mukherjee-to-sanchari-mondal-bengali-actors-celebrate-ganesh-chaturthi-extend-warm-wishes-to-fans/photostory/93898992.cms, <---------- KEYWORD FOUND!
"'Me, Myself & I' grabs the attention of audience",https://timesofindia.indiatimes.com/tv/news/malayalam/ahaana-krishnas-thriller-webseries-me-myself-i-grabs-the-attention-of-audience/articleshow/93896234.cms, <---------- KEYWORD FOUND!
Ravikrishna's a fanboy moment with Prashant Neel,https://timesofindia.indiatimes.com/tv/news/telugu/actor-ravikrishna-shares-a-fanboy-moment-with-k-g-f-director-prashant-neel-says-not-a-great-fan-of-action-cinema-my-perception-changed-now/articleshow/93881224.cms, <---------- KEYWORD FOUND!
Horo Gouri Pice Hotel to premiere in September,https://timesofindia.indiatimes.com/tv/news/bengali/new-show-horo-gouri-pice-hotel-to-premiere-on-september-12/articleshow/93894783.cms, <---------- KEYWORD FOUND!
Chythrra Hallikere's workout regime,https://timesofindia.indiatimes.com/tv/news/kannada/bigg-boss-ott-fame-chythrra-hallikeres-workout-regime-is-all-the-fitness-motivation-one-needs-watch-video/articleshow/93884311.cms, <---------- KEYWORD FOUND!
Mira Jagganath turns an entrepreneur,https://timesofindia.indiatimes.com/tv/news/marathi/bigg-boss-marathi-3-fame-mira-jagganath-turns-an-entrepreneur-launches-a-saree-label/articleshow/93872602.cms, <---------- KEYWORD FOUND!
"Tesla opens 100th super-charging station in Beijing, adding to it's growing network",https://timesofindia.indiatimes.com/auto/electric-cars/tesla-opens-100th-ev-super-charging-station-in-beijing-adding-to-its-growing-network/articleshow/93899130.cms, <---------- KEYWORD FOUND!
Keeway V302C motorcycle launched in India at a starting price of Rs 3.89 lakh,https://timesofindia.indiatimes.com/auto/bikes/keeway-v302c-motorcycle-launched-in-india-at-a-starting-price-of-rs-3-89-lakh/articleshow/93875733.cms, <---------- KEYWORD FOUND!
"New Audi Q3 launched in India at Rs 44.89 lakh: Price, variants, engine, features",https://timesofindia.indiatimes.com/auto/cars/2022-audi-q3-launched-in-india-at-a-starting-price-of-rs-44-89-lakh/articleshow/93873011.cms, <---------- KEYWORD FOUND!
Top 5 upcoming CNG cars to beat high fuel prices: Tata Altroz to Maruti Baleno CNG,https://timesofindia.indiatimes.com/auto/cars/top-5-upcoming-cng-cars-to-beat-high-fuel-prices-tata-altroz-to-maruti-baleno-cng/articleshow/93872355.cms, <---------- KEYWORD FOUND!
Odd but beautiful 1914 Ford Model T Caravan: World's oldest motorhome up for sale,https://timesofindia.indiatimes.com/auto/cars/odd-but-beautiful-1914-ford-model-t-caravan-worlds-oldest-motorhome-up-for-sale/articleshow/93871866.cms, <---------- KEYWORD FOUND!
Toyota Urban Cruiser Hyryder Review: Hybrid technology for the masses,https://timesofindia.indiatimes.com/auto/reviews/toyota-urban-cruiser-hyryder-review-hybrid-technology-for-the-masses/articleshow/93859738.cms, <---------- KEYWORD FOUND!
"Application correction window for AIAPGET 2022 opens today, direct link here",https://timesofindia.indiatimes.com/education/exams/medical/application-correction-window-for-aiapget-2022-opens-today-direct-link-here/articleshow/93844074.cms, <---------- KEYWORD FOUND!
"AWES PGT, TGT, PRT Recruitment 2022: Registration for OST begins, exam on Nov 5 & 6",https://timesofindia.indiatimes.com/education/news/awes-pgt-tgt-prt-recruitment-2022-registration-for-ost-begins-exam-on-nov-5-6/articleshow/93795227.cms, <---------- KEYWORD FOUND!
"India Post GDS Result 2022: Supplementary 4th merit list released, download here",https://timesofindia.indiatimes.com/education/news/india-post-gds-result-2022-supplementary-4th-merit-list-released-download-here/articleshow/93790887.cms, <---------- KEYWORD FOUND!
"NEET-UG 2022 results to be declared by Sept 7, Answer Key on Aug 30",https://timesofindia.indiatimes.com/education/news/neet-ug-2022-results-to-be-declared-by-sept-7-answer-key-on-aug-30/articleshow/93788699.cms, <---------- KEYWORD FOUND!
ICSI Result 2022 LIVE Updates: CS Professional June 2022 Result declared at icsi.edu; know details,https://timesofindia.indiatimes.com/home/education/icsi-result-2022-live-updates-cs-executive-professional-results-cs-june-result-to-be-announced-on-icsi-edu/liveblog/93765389.cms, <---------- KEYWORD FOUND!
DU Executive Council approves first semester syllabi of four-year undergraduate programmes,https://timesofindia.indiatimes.com/education/news/du-executive-council-approves-first-semester-syllabi-of-four-year-undergraduate-programmes/articleshow/93772334.cms, <---------- KEYWORD FOUND!
Katrina Kaif FINALLY opens up about her marriage to Vicky Kaushal; VicKat fans spot couple stealing kisses during Wolf777news Filmfare Awards 2022,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/katrina-kaif-finally-opens-up-about-her-marriage-to-vicky-kaushal-vickat-fans-spot-couple-stealing-kisses-during-wolf777news-filmfare-awards-2022/articleshow/93894372.cms, <---------- KEYWORD FOUND!
Gautam Adani becomes world’s third-richest person as wealth surges,https://timesofindia.indiatimes.com/business/india-business/gautam-adani-becomes-worlds-third-richest-person-as-wealth-surges/articleshow/93868021.cms, <---------- KEYWORD FOUND!
High cholesterol: Sign to not ignore while walking; may require immediate treatment,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/high-cholesterol-sign-to-not-ignore-while-walking-may-require-immediate-treatment/photostory/93754108.cms, <---------- KEYWORD FOUND!
PM to attend Quad summit in US on Sept 24,https://timesofindia.indiatimes.com/india/pm-modi-to-attend-first-in-person-quad-summit-to-be-hosted-by-biden-next-week/articleshow/86187822.cms, <---------- KEYWORD FOUND!
How to make homemade Paneer without milk,https://timesofindia.indiatimes.com/life-style/food-news/how-to-make-homemade-paneer-without-milk/photostory/93877143.cms, <---------- KEYWORD FOUND!
Best dressed celebs at Filmfare Awards 2022,https://timesofindia.indiatimes.com/life-style/fashion/web-stories/from-katrina-kaif-to-mrunal-thakur-best-dressed-celebs-at-67th-wolf-777-news-filmfare-awards-2022/photostory/93887724.cms, <---------- KEYWORD FOUND!
"At 47, here's how Drew Barrymore stays so fit",https://timesofindia.indiatimes.com/life-style/health-fitness/web-stories/at-47-heres-how-drew-barrymore-manages-to-look-so-fit/photostory/93881499.cms, <---------- KEYWORD FOUND!
Heart attack: Indian research study reveals key causes,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/heart-attack-indian-research-study-reveals-key-causes/photostory/93870592.cms, <---------- KEYWORD FOUND!
Mother-in-law/daughter-in-law zodiac pairings,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/best-and-worst-mother-in-law-and-daughter-in-law-zodiac-pairs-zodiac-signs/photostory/93885296.cms, <---------- KEYWORD FOUND!
